breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
tibetan soaniel,small,9 - 15 lbs,"10""",10 - 15 years,Tibbie,non-sporting,Tibet (Himalayan monasteries and villages),Companion Dog,"These dogs were beloved companions of monks in the Himalayan monasteries. These dogs loved to sit on high viewpoints, warning it owner of approaching visitors by barking.","The Tibetan Spaniels is intelligent, alert and independent. This breed is a quick learner, although it can be obstinate. Consistent training is needed.",Overall good health. Eye testing recommended (for PRA).,medium,medium,,,,,
tibetan terrier, small,20 - 29 lbs,"14"" - 16""",12 - 15 years,TT,non-sporting,Tibet,Companion Dog,"The Tibetan Terrier was bred to protect nomad camps and used as a herding dog. Known as ""Good Luck Dogs"", these dogs were often were given to travelers for luck.","The Tibetan Terrier is lively, good-natured, loyal and personable. This breed can be stubborn, but tends to be fairly trainable. Use calm training methods.",Excellent health record. No known hereditary conditions. Could develop eye problems or hip dysplasia,medium,high,TRUE,terrier/tibetan,TRUE,TRUE,Tibetan Terrier
toy fox terrier,small ,3 - 7 lbs,"8"" - 11""",13 - 15 years,The American Toy Terrier,terrier,United States,Companion Dog,The Toy Fox Terrier is one of the few breeds produced in the United States. They were developed in the 1930s from a cross of Fox Terriers and other toy breeds such as Miniature Pinchers and Chihuahuas.,"The Toy Fox Terrier is an outgoing and friendly breed, but can be protective of its family. They are comfortable around gentle children eight years of age or older. This breed is very easy to train but without early socialization and proper training, they can become stubborn. Although they love to explore outside, the Toy Fox Terrier can also live in an apartment.",Patellar Luxation (dislocation of the kneecap),low,low,,,,,
toy poodle,small,5 - 7 lbs,"10"" or less",10 -14 years,"Barbone, Caniche",toy,England,Companion Dog,"The Poodle has been around since the Middle Ages. It originated in Germany, where it was used as a water retriever and sometimes, a circus clown. The word Poodle is derived from ""pfudel"", the German word for ""puddle."" The Toy and Miniature Poodles were developed in England during the 1700s. The Miniature Poodle was bred from the Standard Poodle and, like its larger ancestor, was first used in France as a water fowl retriever and a truffle hunter.","Poodles are one of the most intelligent dog breeds. This breed enjoys working, and is highly responsive, playful and affectionate. In most cases, the Poodle is easily trained. Although Poodles tend to bark at strangers, the breed is not aggressive. Toy and Miniature Poodles are more reserved around strangers and less tolerant of children. In addition, they can be more prone to biting. For the best temperament, socialize your Poodle early; it is a social breed that needs plenty of interaction.","Poodles are prone to several health problems, so it is important to obtain yours from a reputable breeder. Common breed-related health problems include: Atopy; eye problems; deafness; patellar luxation; heart and blood disorders; epilepsy; Cushing's syndrome",medium,high,TRUE,poodle/toy,TRUE,TRUE,Poodle
transylvanian hound,large,75 lbs,"24""",14 years,"Short Hungarian Hound, Erdelyi Kopo",hound,Hungary,"Companion Dog, Hunting","This breed dates back to the 1500s when it was used to hunt large and small game. These dogs are most likely descendants of domestic dogs, Polish Hounds and a Magyar dog. There are two varieties: short- legged and long -legged. The short- legged variety is extinct.","Energetic and loyal, the Transylvanian Hound is a one-person dog. This breed tends to be obedient, responsive and docile. The Transylvanian Hound has acute sense of direction. Because it is bold and determined, this breed needs firm training.",Excellent health record. No known hereditary conditions.,high,low,,,,,
treeing tennessee brindle,medium,30 - 50 lbs,"18"" - 24""",13 years,N/A,sporting,United States (1970s),"Companion Dog, Hunting","This breed has vague origins. Most likely, it is a descendant of various brindle treeing dogs. The breed was registered in 1967.","This breed is intelligent, courageous, kind, laid back and happy. The Treeing Tennessee Brindle is easy to train, but sensitive to abuse or neglect.",Excellent health record. No known hereditary conditions.,high,low,,,,,
tyrolean hound,medium,33 - 48 lbs,"16"" - 19""",N/A,Tylorean Bracke,hound,Austria,"Companion Dog, Hunting, Bloodhound",Dates back to the 1500s. This dog is descended from Celtic hounds. Used in mountains and woods for tracking all types of game.,"Versatile, great tracking dog",Excellent health record. No known hereditary conditions.,high,high,,,,,
vizsla,medium,40-60 pounds,20-26 inches,12-15 years,Magyar Vizsla,sporting,Hungary,Companion Dog,Vizslas originate from Hungary where they were bred by Magyars. They were used as hunting dogs.,"The Vizsla is expressive, gentle and loving.",Prone to hip dysplasia.,medium,medium,TRUE,vizsla,TRUE,TRUE,Vizsla
walker hound,medium,50 - 70 lbs,"20"" - 27""",12 - 13 years,Treeing Walker Coonhound,hound,United States,"Companion Dog, Hunting","Descended from English Foxhounds, this breed was used for hunting and extreme exercise.","The Walker Hound tends to be high-strung, exuberant, anxious, active, courageous, loving and eager-to-please.",Excellent health record. No known hereditary conditions. Does well in hot climates.,high,low,TRUE,hound/walker,TRUE,FALSE,Treeing Walker Coonhound
weimaraner,large,60 - 85 lbs,"27""",11 - 13 years,"Weimaraner Pointer, Weimaraner Vorstehhund",sporting,Germany (1800s),"Companion Dog, Police Dog, Tracking, Search & Rescue","These dogs were used in Germany to hunt large game, then birds. The breed's ancestors are the Red Schweisshund, a tracking dog, and the German Shorthair Pointer. Breeding of these dogs was closely monitored.","Dominant, energetic, enthusiastic, determined and versatile, the Weimaraner requires plenty of companionship and attention. Although this breed can be difficult to train, never use harsh discipline. Weimaraners are best motivated by treats and praise.",Susceptible to hip dysplasia. Breeders / sellers should be certified with the Orthopedic Foundation for Animals. Prone to bloating -- feed small meals.,high,low,TRUE,weimaraner,FALSE,TRUE,Weimaraner
welsh springer spaniel,medium,35 - 50 lbs,"18"" - 19""",12 - 14 years,Known as Welsh Cocker prior to 1902,sporting,Wales,"Companion Dog, Hunting","It is believed this breed is very ancient; however, there is no documentation of the breed till 1859. These dogs may be related to the Brittany Spaniel. It was used as a hunting dog in the Middle Ages and favored by wealthy Englishmen as an all-purpose hunter.",Basset Hounds are a friendly and easy-going breed.,Hip dysplasia; epilepsy; cataracts; glaucoma; hypothyroidism,high,high,TRUE,spaniel/welsh,TRUE,TRUE,Welsh Springer Spaniel
welsh terrier,medium,30 - 40 lbs,"15"" - 17""",12 - 15 years,"Old English Terrier, Black & Tan Wire-haired Terrier",terrier,Wales,"Companion Dog, Earth Dog","The breed was well established in Northern Wales in the 1700s. It was bred to hunt badger, fox, otter and rats.","This breed is friendly, smart, high-spirited and eager-to-please. The Welsh Terrier is a ""one family dog"". The breed can be dominant, territorial and adverse to being handled. These dogs have a tendency to bark. Training activities should be varied -- this breed loves to work and hunt.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
west highland terrier,small,15 - 22 lbs,"11""",12 - 14 years,Westie,terrier,Scotland,"Companion Dog, Earth Dog","Westies are believed to date back to King James I. These dogs were used in Scotland in the 1800s to hunt fox, badger, rats and other small animals. White dogs were preferred for their visibility; This, all West Highland Terriers are white today. These dogs love to dig and hunt.","The West Highland Terrier is high-spirited, bold, loyal, playful, and independent. This is a devoted breed, although its not ""cuddly."" The West Highland Terrier has lots of stamina.",Deafness; allergies; kneecap slippage; hernias; enzyme deficiencies; cataracts; Legg-Perthes disease; prone to copper toxicosis; excessive growth of head bones,high,medium,TRUE,terrier/westhighland,TRUE,TRUE,West Highland White Terrier Westie
west siberian laika,medium,40 - 50 lbs,"21"" - 24""",10 - 12 years,Zapadno-Sibirska�a La�ka,sporting,Russia (1800s),"Companion Dog, Hunting","The most numerous of the Russia Laika-type dogs, the West Siberian Laika descends from dogs used by Arctic tribes in the Ural Mountain region of Russia.","The West Siberian Laika is calm and even-tempered. Slightly smaller than the East Siberian Laika, this breed is an excellent hunting companion that finds game, traps it, and barks until the hunter arrives. It is also adept at sledding. Makes a good companion for homes without children. The West Siberian Laika is more tolerable of other pets than its Eastern counterpart; it will live peacefully with other dogs and can learn to tolerate cats and other small pets (if raised with them from a young age).",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
